Id,Ente,Cig,Tipologia,Criterio,Procedura,Oggetto,Importo,"Data scadenza"
1,"Comune dell'Aquila - Ambiente di Test",1231231232,Lavori,"Solo prezzo",Negoziata,"tal dei tali",143,"16/02/2015 10:30:00"
2,"Comune dell'Aquila - Ambiente di Test",0000000000,Lavori,"Solo prezzo",Aperta,"marco prova",1060,"16/02/2015 11:30:00"
3,"Comune dell'Aquila - Ambiente di Test",1234567891,Lavori,"Solo prezzo",Ristretta,"gara scuola prova I",1503000,"16/02/2015 11:30:00"
4,"Comune dell'Aquila - Ambiente di Test",1111111111,Lavori,"Solo prezzo",Negoziata,"prova negoziata luigi",1503000,"16/02/2015 14:30:00"
5,"Comune dell'Aquila - Ambiente di Test",1111111112,Lavori,"Solo prezzo",Ristretta,grevdvdbvdfdf,1501200,"17/02/2015 13:15:00"
6,"Comune dell'Aquila - Ambiente di Test",5555555555,Lavori,"Solo prezzo",Ristretta,prova3,1203000,"20/02/2015 09:45:00"
7,"Comune dell'Aquila - Ambiente di Test",3333333333,Lavori,"Solo prezzo",Negoziata,"prova 4",1203000,"20/02/2015 09:45:00"
8,"Comune dell'Aquila - Ambiente di Test",9999999999,Lavori,"Solo prezzo",Ristretta,"prova ristretta",1208000,"23/02/2015 13:00:00"
9,"Comune dell'Aquila - Ambiente di Test",1234563215,Lavori,"Solo prezzo",Ristretta,vddfvdfbdfbfdb,1130,"24/02/2015 07:30:00"
42,"Comune dell'Aquila - Ambiente di Test",2542657849,Lavori,"Solo prezzo",Negoziata,fffffffffffffff,170000,"24/02/2015 11:10:00"
10,"Comune dell'Aquila - Ambiente di Test",1234567890,Servizi,"Solo prezzo",Aperta,"Procedura di test per dimostrazione modalit&agrave; di partecipazione gare telematiche",100000,"04/03/2015 18:00:00"
11,"Comune dell'Aquila - Ambiente di Test",9999999992,Lavori,"Solo prezzo",Ristretta,"prova negoziata con avviso",1120000,"16/03/2015 12:00:00"
12,"Comune dell'Aquila - Ambiente di Test",1111111111,Lavori,"Offerta economicamente pi&ugrave; vantaggiosa",Negoziata,"prova negoziata estrazione",1222000,"17/03/2015 12:45:00"
13,"Comune dell'Aquila - Ambiente di Test",2222222222,Lavori,"Offerta economicamente pi&ugrave; vantaggiosa",Negoziata,"prova economicamente estrazione 2",1320000,"17/03/2015 13:07:00"
15,"Comune dell'Aquila - Ambiente di Test",gsdgggggg4,Lavori,"Solo prezzo",Negoziata,sssssssssssssss,1000,"17/03/2015 13:47:00"
16,"Comune dell'Aquila - Ambiente di Test",1111111111,Lavori,"Solo prezzo",Negoziata,3333333333333333,100,"17/03/2015 13:59:00"
14,"Comune dell'Aquila - Ambiente di Test",4444444444,Lavori,"Offerta economicamente pi&ugrave; vantaggiosa",Negoziata,"econom estrazione 3",10000,"17/03/2015 14:00:00"
17,"Comune dell'Aquila - Ambiente di Test",aaaaaaaaaa,Lavori,"Solo prezzo",Negoziata,aaaaaaaaaaaaaaa,1000,"17/03/2015 15:50:00"
18,"Comune dell'Aquila - Ambiente di Test",aaaaaaaaaa,Lavori,"Solo prezzo",Negoziata,qqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq,1000,"17/03/2015 18:10:00"
19,"Comune dell'Aquila - Ambiente di Test",aqaqaqaqaq,Lavori,"Solo prezzo",Negoziata,bla,1000,"18/03/2015 09:30:00"
20,"Comune dell'Aquila - Ambiente di Test",dddddddddd,Lavori,"Offerta economicamente pi&ugrave; vantaggiosa",Negoziata,sssssssssssssss,1000,"18/03/2015 09:45:00"
21,"Comune dell'Aquila - Ambiente di Test",wwwwwwwwww,Lavori,"Solo prezzo",Negoziata,zzzzzzzzzzzzzzz,1000,"18/03/2015 09:45:00"
22,"Comune dell'Aquila - Ambiente di Test",1111111111,Servizi,"Offerta economicamente pi&ugrave; vantaggiosa",Aperta,"economicamemte prezi unitari",1600,"18/03/2015 10:00:00"
23,"Comune dell'Aquila - Ambiente di Test",qqqqqqqqqq,Lavori,"Solo prezzo",Negoziata,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1000,"18/03/2015 10:00:00"
24,"Comune dell'Aquila - Ambiente di Test",1235201245,Servizi,"Offerta economicamente pi&ugrave; vantaggiosa",Aperta,"prova economica aperta",200000,"18/03/2015 12:15:00"
27,"Comune dell'Aquila - Ambiente di Test",1111111111,Lavori,"Solo prezzo",Negoziata,1111111111111111,111111,"19/03/2015 13:36:00"
26,"Comune dell'Aquila - Ambiente di Test",1252412598,Lavori,"Solo prezzo",Negoziata,qqqqqqqqqqq,111111,"19/03/2015 14:00:00"
30,"Comune dell'Aquila - Ambiente di Test",1252425159,Servizi,"Offerta economicamente pi&ugrave; vantaggiosa",Aperta,"prova vale poste 2",170000,"20/03/2015 13:16:00"
29,"Comune dell'Aquila - Ambiente di Test",1524256585,Servizi,"Offerta economicamente pi&ugrave; vantaggiosa",Aperta,"Prova Vale poste",170000,"20/03/2015 13:30:00"
31,"Comune dell'Aquila - Ambiente di Test",2125421549,Servizi,"Offerta economicamente pi&ugrave; vantaggiosa",Aperta,"prova vale 3",61000,"23/03/2015 09:00:00"
32,"Comune dell'Aquila - Ambiente di Test",1252421548,Lavori,"Solo prezzo",Negoziata,"prova luigi",232000,"24/03/2015 13:20:00"
33,"Comune dell'Aquila - Ambiente di Test",1201201254,Servizi,"Offerta economicamente pi&ugrave; vantaggiosa",Aperta,poste,170000,"25/03/2015 12:42:00"
34,"Comune dell'Aquila - Ambiente di Test",ssssssssss,Servizi,"Solo prezzo",Aperta,"prova esclusioni",108000,"26/03/2015 10:35:00"
35,"Comune dell'Aquila - Ambiente di Test",2222222222,Servizi,"Solo prezzo",Aperta,"prova esclusioni 2",108000,"26/03/2015 10:45:00"
36,"Comune dell'Aquila - Ambiente di Test",1252421568,Lavori,"Solo prezzo",Aperta,"prova ultime modifiche",115000,"27/03/2015 08:30:00"
